protocol_id	source	endpoint	metric_level	task	split	seed_status	model_key	parameter_count	pretraining_variant	window_bp	n_species	n_windows_per_species	mean_te_f1
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_8m_pre	8M	pretrained	2048	5	1200	0.308250520016861
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_8m_pre	8M	pretrained	4096	6	1200	0.427797705597745
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_8m_pre	8M	pretrained	4096	5	1200	0.230174505287861
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_8m_pre	8M	pretrained	8192	6	1200	0.421961125021074
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_8m_pre	8M	pretrained	8192	5	1200	0.242270372153417
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_8m_pre_8kb	8M	8kb_pretrained	512	6	1200	0.456693689394919
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_8m_pre_8kb	8M	8kb_pretrained	512	5	1200	0.260587725887319
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_8m_pre_8kb	8M	8kb_pretrained	1024	6	1200	0.529324546974783
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_8m_pre_8kb	8M	8kb_pretrained	1024	5	1200	0.299823218971891
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_8m_pre_8kb	8M	8kb_pretrained	2048	6	1200	0.483728252939704
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_8m_pre_8kb	8M	8kb_pretrained	2048	5	1200	0.283896657058789
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_8m_pre_8kb	8M	8kb_pretrained	4096	6	1200	0.394790440243038
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_8m_pre_8kb	8M	8kb_pretrained	4096	5	1200	0.162033312929591
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	animal_fine	seed42_single	ntv3_8m_pre_8kb	8M	8kb_pretrained	8192	6	1200	0.391349180239715
PIPE-TEFM-FINAL-20260623-TRANSFER-MATRIX	reports/tefm_final/PIPE-TEFM-FINAL-20260623/summaries/matrix_eval.tsv	te_f1	token-level reported metric	binary TE detection	plant_fine	seed42_single	ntv3_8m_pre_8kb	8M	8kb_pretrained	8192	5	1200	0.186774508755222
