panel	variant	true_len_bin	true_segments_bin	missed_true_rate_bin	split_true_rate_bin	mean_fragments_per_true_bin
human_test	lenadaptive_raw0.20_hmm1_cut300	lt80	56	0.5714285714285714	0.10714285714285714	0.6607142857142857
human_test	lenadaptive_raw0.20_hmm1_cut300	80_300	129	0.27906976744186046	0.14728682170542637	1.062015503875969
human_test	lenadaptive_raw0.20_hmm1_cut300	300_1000	54	0.09259259259259259	0.12962962962962962	1.3333333333333333
human_test	lenadaptive_raw0.20_hmm1_cut300	ge1000	5	0.0	0.6	24.8
human_test	lenadaptive_raw0.30_hmm1_cut80	lt80	56	0.625	0.08928571428571429	0.5892857142857143
human_test	lenadaptive_raw0.30_hmm1_cut80	80_300	129	0.24031007751937986	0.16279069767441862	1.0852713178294573
human_test	lenadaptive_raw0.30_hmm1_cut80	300_1000	54	0.05555555555555555	0.1111111111111111	1.462962962962963
human_test	lenadaptive_raw0.30_hmm1_cut80	ge1000	5	0.0	0.4	40.8
human_test	lenadaptive_raw0.30_hmm1_cut150	lt80	56	0.5714285714285714	0.08928571428571429	0.6428571428571429
human_test	lenadaptive_raw0.30_hmm1_cut150	80_300	129	0.2713178294573643	0.15503875968992248	1.0465116279069768
human_test	lenadaptive_raw0.30_hmm1_cut150	300_1000	54	0.05555555555555555	0.1111111111111111	1.462962962962963
human_test	lenadaptive_raw0.30_hmm1_cut150	ge1000	5	0.0	0.4	41.0
human_test	lenadaptive_raw0.30_hmm1_cut300	lt80	56	0.5714285714285714	0.08928571428571429	0.6428571428571429
human_test	lenadaptive_raw0.30_hmm1_cut300	80_300	129	0.2558139534883721	0.16279069767441862	1.069767441860465
human_test	lenadaptive_raw0.30_hmm1_cut300	300_1000	54	0.07407407407407407	0.12962962962962962	1.462962962962963
human_test	lenadaptive_raw0.30_hmm1_cut300	ge1000	5	0.0	0.4	41.0
human_test	lenadaptive_raw0.40_hmm1_cut80	lt80	56	0.6428571428571429	0.08928571428571429	0.5892857142857143
human_test	lenadaptive_raw0.40_hmm1_cut80	80_300	129	0.24806201550387597	0.13178294573643412	1.0852713178294573
human_test	lenadaptive_raw0.40_hmm1_cut80	300_1000	54	0.05555555555555555	0.14814814814814814	1.3333333333333333
human_test	lenadaptive_raw0.40_hmm1_cut80	ge1000	5	0.0	0.6	95.0
human_test	lenadaptive_raw0.40_hmm1_cut150	lt80	56	0.625	0.08928571428571429	0.6428571428571429
human_test	lenadaptive_raw0.40_hmm1_cut150	80_300	129	0.2558139534883721	0.13953488372093023	1.069767441860465
human_test	lenadaptive_raw0.40_hmm1_cut150	300_1000	54	0.05555555555555555	0.14814814814814814	1.3333333333333333
human_test	lenadaptive_raw0.40_hmm1_cut150	ge1000	5	0.0	0.6	95.2
human_test	lenadaptive_raw0.40_hmm1_cut300	lt80	56	0.625	0.08928571428571429	0.6428571428571429
human_test	lenadaptive_raw0.40_hmm1_cut300	80_300	129	0.24806201550387597	0.14728682170542637	1.1085271317829457
human_test	lenadaptive_raw0.40_hmm1_cut300	300_1000	54	0.07407407407407407	0.14814814814814814	1.3148148148148149
human_test	lenadaptive_raw0.40_hmm1_cut300	ge1000	5	0.0	0.6	94.8
human_test	lenadaptive_raw0.50_hmm1_cut80	lt80	56	0.625	0.07142857142857142	0.5
human_test	lenadaptive_raw0.50_hmm1_cut80	80_300	129	0.24806201550387597	0.10852713178294573	0.9612403100775194
human_test	lenadaptive_raw0.50_hmm1_cut80	300_1000	54	0.05555555555555555	0.05555555555555555	1.1481481481481481
human_test	lenadaptive_raw0.50_hmm1_cut80	ge1000	5	0.0	0.4	80.0
human_test	lenadaptive_raw0.50_hmm1_cut150	lt80	56	0.625	0.07142857142857142	0.5535714285714286
human_test	lenadaptive_raw0.50_hmm1_cut150	80_300	129	0.24806201550387597	0.13953488372093023	1.0077519379844961
human_test	lenadaptive_raw0.50_hmm1_cut150	300_1000	54	0.05555555555555555	0.05555555555555555	1.2222222222222223
human_test	lenadaptive_raw0.50_hmm1_cut150	ge1000	5	0.0	0.4	82.2
human_test	lenadaptive_raw0.50_hmm1_cut300	lt80	56	0.625	0.07142857142857142	0.5535714285714286
human_test	lenadaptive_raw0.50_hmm1_cut300	80_300	129	0.24806201550387597	0.17829457364341086	1.0852713178294573
human_test	lenadaptive_raw0.50_hmm1_cut300	300_1000	54	0.05555555555555555	0.05555555555555555	1.2222222222222223
human_test	lenadaptive_raw0.50_hmm1_cut300	ge1000	5	0.0	0.4	89.8
human_test	lenadaptive_raw0.60_hmm1_cut80	lt80	56	0.625	0.03571428571428571	0.48214285714285715
human_test	lenadaptive_raw0.60_hmm1_cut80	80_300	129	0.24806201550387597	0.05426356589147287	0.8294573643410853
human_test	lenadaptive_raw0.60_hmm1_cut80	300_1000	54	0.05555555555555555	0.05555555555555555	1.1296296296296295
human_test	lenadaptive_raw0.60_hmm1_cut80	ge1000	5	0.0	0.4	16.6
human_test	lenadaptive_raw0.60_hmm1_cut150	lt80	56	0.625	0.05357142857142857	0.5714285714285714
human_test	lenadaptive_raw0.60_hmm1_cut150	80_300	129	0.24806201550387597	0.10852713178294573	0.9457364341085271
human_test	lenadaptive_raw0.60_hmm1_cut150	300_1000	54	0.05555555555555555	0.05555555555555555	1.2037037037037037
human_test	lenadaptive_raw0.60_hmm1_cut150	ge1000	5	0.0	0.4	16.8
human_test	lenadaptive_raw0.60_hmm1_cut300	lt80	56	0.625	0.05357142857142857	0.5714285714285714
human_test	lenadaptive_raw0.60_hmm1_cut300	80_300	129	0.24806201550387597	0.20155038759689922	1.0930232558139534
human_test	lenadaptive_raw0.60_hmm1_cut300	300_1000	54	0.05555555555555555	0.05555555555555555	1.2222222222222223
human_test	lenadaptive_raw0.60_hmm1_cut300	ge1000	5	0.0	0.4	30.8
human_test	lenadaptive_raw0.70_hmm1_cut80	lt80	56	0.625	0.03571428571428571	0.4642857142857143
human_test	lenadaptive_raw0.70_hmm1_cut80	80_300	129	0.2558139534883721	0.031007751937984496	0.7984496124031008
human_test	lenadaptive_raw0.70_hmm1_cut80	300_1000	54	0.05555555555555555	0.05555555555555555	1.037037037037037
human_test	lenadaptive_raw0.70_hmm1_cut80	ge1000	5	0.0	0.4	8.6
human_test	lenadaptive_raw0.70_hmm1_cut150	lt80	56	0.625	0.07142857142857142	0.5357142857142857
