source	species	model	te_f1	distance_bucket	label_jaccard	repeat_library_completeness	ucsc_te_bp_log10	self_ucsc_bp_ratio_log	class_entropy	gc	train_clade_covered	kingdom_plant	stress_panel	insect_panel	path
repair_mixed	western_clawed_frog	invert_boost_animal_4096	0.9384484554812158	0.55	0.000179	0.000179	8.658576832986068	-3.73219836816952	0.4801144733706601	0.0	1.0	0.0	0.0	0.0	
repair_mixed	zebrafish	invert_boost_animal_4096	0.9079971499897331	0.65	0.837603	0.982602	8.887261261356677	0.06285057103103395	0.5007062747812986	0.0	1.0	0.0	0.0	0.0	
repair_mixed	cattle	mouse_core_animal_4096	0.9208665285059306	0.28	0.48001	0.488924	9.101775014949785	-0.29456695170425834	0.5026184117689	0.441201171875	1.0	0.0	0.0	0.0	
repair_mixed	horse	mouse_core_animal_4096	0.8929670426179449	0.28	0.791397	0.812579	9.026699378784475	-0.07606022944133566	0.5590335596041941	0.5219681309917154	1.0	0.0	0.0	0.0	
repair_mixed	human	mouse_core_animal_4096	0.9039123232606745	0.1	0.948128	0.966802	9.155181875350673	-0.005903571159263742	0.572086638754498	0.55045654296875	1.0	0.0	0.0	0.0	
repair_mixed	pig	mouse_core_animal_4096	0.8752680709659444	0.28	0.582164	0.594998	9.032045335315601	-0.20968427520846328	0.5146315299426227	0.53280517578125	1.0	0.0	0.0	0.0	
repair_mixed	cattle	mouse_core_animal_4096	0.9208665285059306	0.28	0.48001	0.488924	9.101775014949785	-0.29456695170425834	0.5026184117689	0.441201171875	1.0	0.0	0.0	0.0	
repair_mixed	horse	mouse_core_animal_4096	0.8929670426179449	0.28	0.791397	0.812579	9.026699378784475	-0.07606022944133566	0.5590335596041941	0.5219681309917154	1.0	0.0	0.0	0.0	
repair_mixed	human	mouse_core_animal_4096	0.9039123232606745	0.1	0.948128	0.966802	9.155181875350673	-0.005903571159263742	0.572086638754498	0.55045654296875	1.0	0.0	0.0	0.0	
repair_mixed	lizard	mouse_core_animal_4096	0.2383885407624708	0.5	0.038956	0.053715	7.983968523314736	-0.3639181796590216	0.5667695928828661	0.4049650383467576	1.0	0.0	1.0	0.0	
repair_mixed	opossum	mouse_core_animal_4096	0.8783574671439092	0.35	0.387702	0.396173	9.273598589520779	-0.37880048273767486	0.4931961307204842	0.42751062526527384	1.0	0.0	0.0	0.0	
repair_mixed	pig	mouse_core_animal_4096	0.8752680709659444	0.28	0.582164	0.594998	9.032045335315601	-0.20968427520846328	0.5146315299426227	0.53280517578125	1.0	0.0	0.0	0.0	
repair_mixed	red_flour_beetle	mouse_core_animal_4096	0.00321627071603582	0.9	0.027167	0.29354	5.254876634206766	1.004254993521776	0.38039598211210046	0.35283729296530075	0.0	0.0	1.0	1.0	
repair_mixed	western_honey_bee	mouse_core_animal_4096	0.03149214768159781	0.9	0.020425	0.982865	4.955033170333894	1.6821794829942562	-0.0	0.3753426136544884	0.0	0.0	1.0	1.0	
repair_mixed	x_laevis	mouse_core_animal_4096	0.3961703913156446	0.58	0.000194	0.000194	8.377652577559846	-3.6232965958865218	0.14092435803879808	0.37935993204752366	1.0	0.0	1.0	0.0	
repair_mixed	c_elegans	mouse_core_animal_4096	0.8362139780364212	0.95	0.833784	0.964483	6.962709391952546	0.04969724618578586	0.5351230628226509	0.0	1.0	0.0	0.0	0.0	
repair_mixed	chicken	mouse_core_animal_4096	0.943037347686821	0.45	0.391291	0.394479	8.004344683160928	-0.3950973786864289	0.4351367984736259	0.0	1.0	0.0	0.0	0.0	
repair_mixed	fruit_fly	mouse_core_animal_4096	0.9302313388897802	0.85	0.888725	0.993839	7.377049515174335	0.04614982940082338	0.713273686850958	0.0	0.0	0.0	0.0	1.0	
repair_mixed	mouse	mouse_core_animal_4096	0.9568835152646948	0.2	0.892472	0.903571	9.04353895905665	-0.038101307922466285	0.5910283099286767	0.0	1.0	0.0	0.0	0.0	
repair_mixed	western_clawed_frog	mouse_core_animal_4096	0.9240714752536946	0.55	0.000179	0.000179	8.658576832986068	-3.73219836816952	0.4801144733706601	0.0	1.0	0.0	0.0	0.0	
