source	species	model	te_f1	target_kingdom	anchor_type	distance_mya	log_distance_mya	target_gc	same_kingdom_anchor	cross_anchor	plant_target	insect_target	vertebrate_target	label_jaccard	library_completeness	self_ucsc_ratio_log	path
calib_summary	red_flour_beetle	direct_western_honey_bee_4096	0.0	insect	insect	820.0	2.9138138523837167	0.3398226403076848	1.0	0.0	0.0	1.0	0.0	0.027167	0.29354	1.004254993521776	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/direct_honeybee/stress_eval/red_flour_beetle.json
calib_summary	western_honey_bee	direct_western_honey_bee_4096	0.0	insect	insect	820.0	2.9138138523837167	0.3657441979287441	1.0	0.0	0.0	1.0	0.0	0.020425	0.982865	1.6821794829942562	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/direct_honeybee/stress_eval/western_honey_bee.json
calib_summary	cattle	insect_no_beetle_4096	0.26812894244640084	vertebrate	insect	96.0	1.9822712330395684	0.4334912109375	0.0	0.0	0.0	0.0	1.0	0.48001	0.488924	-0.29456695170425834	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/cross_eval/cattle.json
calib_summary	horse	insect_no_beetle_4096	0.18690448589674039	vertebrate	insect	96.0	1.9822712330395684	0.5177628848360556	0.0	0.0	0.0	0.0	1.0	0.791397	0.812579	-0.07606022944133566	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/cross_eval/horse.json
calib_summary	human	insect_no_beetle_4096	0.14779083377776117	vertebrate	insect	6.0	0.7781512503836436	0.545770263671875	0.0	0.0	0.0	0.0	1.0	0.948128	0.966802	-0.005903571159263742	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/cross_eval/human.json
calib_summary	lizard	insect_no_beetle_4096	0.14183013901954156	vertebrate	insect	320.0	2.505149978319906	0.40405036669277106	0.0	0.0	0.0	0.0	1.0	0.038956	0.053715	-0.3639181796590216	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/cross_eval/lizard.json
calib_summary	opossum	insect_no_beetle_4096	0.3505344111723824	vertebrate	insect	160.0	2.204119982655925	0.4415015398206201	0.0	0.0	0.0	0.0	1.0	0.387702	0.396173	-0.37880048273767486	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/cross_eval/opossum.json
calib_summary	pig	insect_no_beetle_4096	0.1493562637371058	vertebrate	insect	96.0	1.9822712330395684	0.52506103515625	0.0	0.0	0.0	0.0	1.0	0.582164	0.594998	-0.20968427520846328	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/cross_eval/pig.json
calib_summary	red_flour_beetle	insect_no_beetle_4096	0.0059299524368398296	insect	insect	820.0	2.9138138523837167	0.3398226403076848	1.0	0.0	0.0	1.0	0.0	0.027167	0.29354	1.004254993521776	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/cross_eval/red_flour_beetle.json
calib_summary	soybean	insect_no_beetle_4096	0.48678244619370387	plant	insect	1550.0	3.1903316981702914	0.33281741126935166	0.0	0.0	1.0	0.0	0.0	0.121572	0.122064	-0.8992367578779318	reports/tefm_calib/PIPE-TEFM-CALIB-20260621/binary_eval/insect_no_beetle/cross_eval/soybean.json
