feature_set	split	species	species_group	action	deployed_anchor_or_shortlist	top1_anchor	top2_anchors	true_best_anchor	top1_contains_best	top2_contains_best	top1_actual_te_f1	top2_probe_actual_te_f1	true_best_te_f1	top1_regret	top2_probe_regret	deployed_regret	pred_top1_score	pred_top2_score	pred_margin	pred_top1_sd	risk_bin	abstain	local_probe_recommended	confidently_wrong_single_anchor
baseline_plus_assembly_kmer	leave_species_out	pig	vertebrate	top2_shortlist_local_probe	animal,cross	animal	animal,cross	animal	1	1	0.8761131743803473	0.8761131743803473	0.8761131743803473	0.0	0.0	0.0	0.6744841661086098	0.6366704501369771	0.037813715971632744	0.2548790518105793	medium_0.60_0.80	0	1	0
baseline_plus_assembly_kmer	leave_species_out	red_flour_beetle	insect	top2_shortlist_local_probe	animal,animal	animal	animal,animal	insect	0	0	0.0044488885799382	0.0044488885799382	0.0059299524368398	0.0014810638569016004	0.0014810638569016004	0.0014810638569016004	0.6268355660746519	0.6268355660746519	0.0	0.2821648445784808	medium_0.60_0.80	0	1	0
baseline_plus_assembly_kmer	leave_species_out	rice	plant	top2_shortlist_local_probe	cross,plant	cross	cross,plant	cross	1	1	0.8757886614942711	0.8757886614942711	0.8757886614942711	0.0	0.0	0.0	0.8202369643240621	0.800629019817516	0.019607944506546127	0.1036861369559892	high_ge0.80	0	1	0
baseline_plus_assembly_kmer	leave_species_out	sorghum	plant	top2_shortlist_local_probe	cross,plant	cross	cross,plant	cross	1	1	0.9154621597006132	0.9154621597006132	0.9154621597006132	0.0	0.0	0.0	0.8731335803910102	0.8586351847468865	0.014498395644123696	0.0841100630710287	high_ge0.80	0	1	0
baseline_plus_assembly_kmer	leave_species_out	soybean	plant	top2_shortlist_local_probe	cross,cross	cross	cross,cross	animal	0	0	0.4136761357660033	0.4136761357660033	0.5650860204945004	0.1514098847284971	0.1514098847284971	0.1514098847284971	0.4168976011603572	0.4168976011603572	0.0	0.2998512342983222	low_0.40_0.60	0	1	0
baseline_plus_assembly_kmer	leave_species_out	teosinte	plant	top2_shortlist_local_probe	animal,animal	animal	animal,animal	plant	0	0	0.8886845637016639	0.8886845637016639	0.9308197551982428	0.04213519149657885	0.04213519149657885	0.04213519149657885	0.3839789792119114	0.3839789792119114	0.0	0.2730559458319131	very_low_lt0.40	0	1	0
baseline_plus_assembly_kmer	leave_species_out	thale_cress	plant	top2_shortlist_local_probe	cross,animal	cross	cross,animal	cross	1	1	0.7121875392581978	0.7121875392581978	0.7121875392581978	0.0	0.0	0.0	0.7067006966880319	0.6995315638639105	0.00716913282412146	0.1904806382469227	medium_0.60_0.80	0	1	0
baseline_plus_assembly_kmer	leave_species_out	western_clawed_frog	vertebrate	top2_shortlist_local_probe	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv3_100m	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv2_500m	0	1	0.5191597065847986	0.7676709570719781	0.7676709570719781	0.24851125048717948	0.0	0.0	0.5239892899639362	0.5087803636973233	0.015208926266612965	0.2357460799438518	low_0.40_0.60	0	1	0
baseline_plus_assembly_kmer	leave_species_out	western_honey_bee	insect	top2_shortlist_local_probe	insect,insect	insect	insect,insect	insect	1	1	0.946524064171123	0.946524064171123	0.946524064171123	0.0	0.0	0.0	0.1930678643397792	0.1930678643397792	0.0	0.3161290634539893	very_low_lt0.40	0	1	0
baseline_plus_assembly_kmer	leave_species_out	x_laevis	vertebrate	top2_shortlist_local_probe	animal,animal	animal	animal,animal	animal	1	1	0.4013777654205557	0.4013777654205557	0.4013777654205557	0.0	0.0	0.0	0.5404513276143246	0.5404513276143246	0.0	0.3021629409675671	low_0.40_0.60	0	1	0
baseline_plus_assembly_kmer	leave_species_out	zebrafish	vertebrate	top2_shortlist_local_probe	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv3_100m	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv2_500m	0	1	0.5214699959942013	0.8151318178516959	0.8151318178516959	0.29366182185749456	0.0	0.0	0.3985117935219912	0.388226696288602	0.010285097233389162	0.228745323098003	very_low_lt0.40	0	1	0
baseline_plus_assembly_kmer	leave_clade_out	brachypodium	plant	abstain_require_local_probe		cross	cross,animal	cross	1	1	0.8175422271365038	0.8175422271365038	0.8175422271365038	0.0	0.0	nan	0.8925531817486199	0.8806941452730253	0.011859036475594609	0.0847123616450565	high_ge0.80	1	1	0
baseline_plus_assembly_kmer	leave_clade_out	c_elegans	other	abstain_require_local_probe		insect	insect,insect	animal	0	0	0.8945547202059512	0.8945547202059512	0.9053972034713066	0.010842483265355418	0.010842483265355418	nan	0.0947659949757308	0.0947659949757308	0.0	0.1545542303138776	very_low_lt0.40	1	1	0
baseline_plus_assembly_kmer	leave_clade_out	cattle	vertebrate	abstain_require_local_probe		cross	cross,animal	animal	0	1	0.9213113792693672	0.9216935615407684	0.9216935615407684	0.000382182271401188	0.0	nan	0.7659158356179113	0.7640304284216154	0.0018854071962959296	0.2069105199022149	medium_0.60_0.80	1	1	0
baseline_plus_assembly_kmer	leave_clade_out	chicken	vertebrate	abstain_require_local_probe		human_h0_ntv3_100m	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv2_500m	0	1	0.6195493201860316	0.8516226680157541	0.8516226680157541	0.23207334782972255	0.0	nan	0.7709576411805287	0.7650885391690821	0.005869102011446525	0.1416525132218922	medium_0.60_0.80	1	1	0
baseline_plus_assembly_kmer	leave_clade_out	fruit_fly	insect	abstain_require_local_probe		cross	cross,animal	insect	0	0	0.942393180917196	0.9437257723304636	0.944818571090276	0.0024253901730799665	0.0010927987598123856	nan	0.810590133113234	0.7856618783238052	0.02492825478942884	0.1144510247758682	high_ge0.80	1	1	0
baseline_plus_assembly_kmer	leave_clade_out	horse	vertebrate	abstain_require_local_probe		plant	plant,cross	cross	0	1	0.1025602154105038	0.8925601404845789	0.8925601404845789	0.7899999250740751	0.0	nan	0.35206165669069	0.3279383235436356	0.024123333147054393	0.2361385160535064	very_low_lt0.40	1	1	0
baseline_plus_assembly_kmer	leave_clade_out	human	vertebrate	abstain_require_local_probe		human_h0_ntv2_500m	human_h0_ntv2_500m,animal	human_h0_ntv2_500m	1	1	0.961411324419745	0.961411324419745	0.961411324419745	0.0	0.0	nan	0.7972100071095386	0.271227662284303	0.5259823448252356	0.1138070987040476	medium_0.60_0.80	1	1	0
baseline_plus_assembly_kmer	leave_clade_out	lizard	vertebrate	abstain_require_local_probe		plant	plant,plant	animal	0	0	0.1506094759615682	0.1506094759615682	0.2416400416987031	0.09103056573713489	0.09103056573713489	nan	0.8322714059729576	0.8322714059729576	0.0	0.1252549768848895	high_ge0.80	1	1	0
baseline_plus_assembly_kmer	leave_clade_out	maize	plant	abstain_require_local_probe		cross	cross,animal	cross	1	1	0.9629892479990332	0.9629892479990332	0.9629892479990332	0.0	0.0	nan	0.8475606056530476	0.8070647737542632	0.04049583189878436	0.1395885950493091	high_ge0.80	1	1	0
baseline_plus_assembly_kmer	leave_clade_out	mouse	vertebrate	abstain_require_local_probe		human_h0_ntv3_100m	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv2_500m	0	1	0.7771925460040144	0.937559801228433	0.937559801228433	0.16036725522441853	0.0	nan	0.5668007145928317	0.5232148290293044	0.04358588556352727	0.2706488970242827	low_0.40_0.60	1	1	0
baseline_plus_assembly_kmer	leave_clade_out	opossum	vertebrate	abstain_require_local_probe		cross	cross,animal	animal	0	1	0.8799647530707007	0.8811419601553324	0.8811419601553324	0.0011772070846317595	0.0	nan	0.613857001909219	0.6067152816916217	0.007141720217597292	0.279937865701404	medium_0.60_0.80	1	1	0
baseline_plus_assembly_kmer	leave_clade_out	pig	vertebrate	abstain_require_local_probe		plant	plant,animal	animal	0	1	0.0856805344147079	0.8761131743803473	0.8761131743803473	0.7904326399656394	0.0	nan	0.3513152449940039	0.3284374945805161	0.02287775041348783	0.23562934527083	very_low_lt0.40	1	1	0
baseline_plus_assembly_kmer	leave_clade_out	red_flour_beetle	insect	abstain_require_local_probe		cross	cross,cross	insect	0	0	0.0030871384254842	0.0030871384254842	0.0059299524368398	0.0028428140113556	0.0028428140113556	nan	0.6158773515175376	0.6158773515175376	0.0	0.2482044222995605	medium_0.60_0.80	1	1	0
baseline_plus_assembly_kmer	leave_clade_out	rice	plant	abstain_require_local_probe		cross	cross,animal	cross	1	1	0.8757886614942711	0.8757886614942711	0.8757886614942711	0.0	0.0	nan	0.8701650820783281	0.862360123197964	0.007804958880364143	0.1043385777370282	high_ge0.80	1	1	0
