feature_set	split	species	species_group	chosen_anchor	true_best_anchor	chosen_actual_te_f1	true_best_te_f1	anchor_top1_hit	anchor_top2_hit	regret	predicted_score	predicted_uncertainty_sd	risk_bin
baseline_plus_assembly_kmer	leave_clade_out	cattle	vertebrate	cross	animal	0.9213113792693672	0.9216935615407684	0	1	0.000382182271401188	0.7659158356179113	0.20691051990221493	medium_0.60_0.80
baseline_plus_assembly_kmer	leave_clade_out	chicken	vertebrate	human_h0_ntv3_100m	human_h0_ntv2_500m	0.6195493201860316	0.8516226680157541	0	0	0.23207334782972255	0.7709576411805287	0.1416525132218922	medium_0.60_0.80
baseline_plus_assembly_kmer	leave_clade_out	fruit_fly	insect	cross	insect	0.942393180917196	0.944818571090276	0	0	0.0024253901730799665	0.810590133113234	0.11445102477586828	high_ge0.80
baseline_plus_assembly_kmer	leave_clade_out	horse	vertebrate	plant	cross	0.1025602154105038	0.8925601404845789	0	0	0.7899999250740751	0.35206165669069	0.23613851605350641	very_low_lt0.40
baseline_plus_assembly_kmer	leave_clade_out	human	vertebrate	human_h0_ntv2_500m	human_h0_ntv2_500m	0.961411324419745	0.961411324419745	1	1	0.0	0.7972100071095386	0.11380709870404769	medium_0.60_0.80
baseline_plus_assembly_kmer	leave_clade_out	lizard	vertebrate	plant	animal	0.1506094759615682	0.2416400416987031	0	0	0.09103056573713489	0.8322714059729576	0.1252549768848895	high_ge0.80
baseline_plus_assembly_kmer	leave_clade_out	maize	plant	cross	cross	0.9629892479990332	0.9629892479990332	1	1	0.0	0.8475606056530476	0.1395885950493091	high_ge0.80
baseline_plus_assembly_kmer	leave_clade_out	mouse	vertebrate	human_h0_ntv3_100m	human_h0_ntv2_500m	0.7771925460040144	0.937559801228433	0	0	0.16036725522441853	0.5668007145928317	0.2706488970242827	low_0.40_0.60
baseline_plus_assembly_kmer	leave_clade_out	opossum	vertebrate	cross	animal	0.8799647530707007	0.8811419601553324	0	1	0.0011772070846317595	0.613857001909219	0.27993786570140405	medium_0.60_0.80
baseline_plus_assembly_kmer	leave_clade_out	pig	vertebrate	plant	animal	0.0856805344147079	0.8761131743803473	0	0	0.7904326399656394	0.3513152449940039	0.23562934527083	very_low_lt0.40
